Año,Fecha (dd/mm/aaaa),Moneda,Continente,Id Moneda,Tipo de cambio,Tipo de tasa,Valor
2010,2010-11-22,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1088,76176"
2010,2010-11-22,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1090,14526"
2010,2010-11-23,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,811"
2010,2010-11-23,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,814"
2010,2010-11-23,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"668,68159"
2010,2010-11-23,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"669,630019"
2010,2010-11-23,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,730699"
2010,2010-11-23,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7313"
2010,2010-11-23,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1086,8538"
2010,2010-11-23,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1087,61194"
2010,2010-11-24,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,807999"
2010,2010-11-24,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,809"
2010,2010-11-24,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"673,620499"
2010,2010-11-24,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"674,319799"
2010,2010-11-24,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7213"
2010,2010-11-24,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7221"
2010,2010-11-24,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1098,77475"
2010,2010-11-24,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1100,03485"
2010,2010-11-25,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,81"
2010,2010-11-25,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,811"
2010,2010-11-25,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"671,938809"
2010,2010-11-25,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"672,380779"
2010,2010-11-25,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,718499"
2010,2010-11-25,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7194"
2010,2010-11-25,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1098,53437"
2010,2010-11-25,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1099,44137"
2010,2010-11-26,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,815"
2010,2010-11-26,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,818"
2010,2010-11-26,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"670,269689"
2010,2010-11-26,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"671,1865"
2010,2010-11-26,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,724699"
2010,2010-11-26,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7257"
2010,2010-11-26,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1094,523959"
2010,2010-11-26,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1095,48907"
2010,2010-11-27,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,815"
2010,2010-11-27,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,818"
2010,2010-11-27,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"676,451379"
2010,2010-11-27,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"677,488449"
2010,2010-11-27,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,724699"
